Date	Month	Day	Fish.ID	Liver.ID	Fillet.ID	Whole	Tank	Treatment	Sex	Length	Weight	Liver.Weight	God.Weight	HSI	GSI	Cortisol
7/20/2010	7	20	CF-46	CFf-T26.7-20	CFl-T26.7-20	NA	26	Control.Fed	M	324	488	6.007	1.06	1.230942623	0.217213115	8.4
7/20/2010	7	20	CFw-T24.7-20	NA	NA	CFw-T24.7-20	24	Control.Fed	NA	318	645	NA	NA	NA	NA	NA
7/20/2010	7	20	CF-47	CFf-T24.7-20	CFl-T24.7-20	NA	24	Control.Fed	M	332	677	12.896	0.892	1.904874446	0.131757755	7.9
7/20/2010	7	20	CF-48	CFf-T24.7-20	CFl-T24.7-20	NA	24	Control.Fed	F	335	630	10.813	23.785	1.716349206	3.775396825	9.6
7/20/2010	7	20	CF-49	CFf-T24.7-20	CFl-T24.7-20	NA	24	Control.Fed	F	354	760	15.874	11.128	2.088684211	1.464210526	7.7
7/20/2010	7	20	PFw-T22.7-20	NA	NA	PFw-T22.7-20	22	PCB.Fed	NA	370	928	NA	NA	NA	NA	NA
7/20/2010	7	20	PF.-.44	PFf-T22.7-20	PFl-T22.7-20	NA	22	PCB.Fed	M	348	757	12.041	0.745	1.590620872	0.098414795	6.1
7/20/2010	7	20	PF.-.45	PFf-T22.7-20	PFl-T22.7-20	NA	22	PCB.Fed	M	366	810	12.735	2.368	1.572222222	0.292345679	5.2
7/20/2010	7	20	PF.-.46	PFf-T22.7-20	PFl-T22.7-20	NA	22	PCB.Fed	F	400	1064	16.709	36.795	1.570394737	3.458176692	10.6
7/20/2010	7	20	PNw-T3.7-20	NA	NA	PNw-T3.7-20	3	PCB.Not.Fed	NA	352	671	NA	NA	NA	NA	NA
7/20/2010	7	20	PN-.44	PNf-T3.7-20	PNl-T3.7-20	NA	3	PCB.Not.Fed	M	348	603	5.49	1.251	0.910447761	0.207462687	2.1
7/20/2010	7	20	PN.-.45	PNf-T3.7-20	PNl-T3.7-20	NA	3	PCB.Not.Fed	M	410	1038	8.7	3.044	0.838150289	0.293256262	2.7
7/20/2010	7	20	PN.-.46	PNf-T3.7-20	PNl-T3.7-20	NA	3	PCB.Not.Fed	F	365	640	5.9	10.78	0.921875	1.684375	6.6
7/20/2010	7	20	CNw-T1.7-20	NA	NA	CNw-T1.7-20	1	Control.Not.Fed	NA	324	533	NA	NA	NA	NA	NA
7/20/2010	7	20	CN-41	CNf-T1.7-20	CNl-T1.7-20	NA	1	Control.Not.Fed	F	302	391	3.34	2.462	0.854219949	0.629667519	8.6
7/20/2010	7	20	CN-42	CNf-T1.7-20	CNl-T1.7-20	NA	1	Control.Not.Fed	M	330	520	3.716	1.347	0.714615385	0.259038462	7.7
7/20/2010	7	20	CN-43	CNf-T1.7-20	CNl-T1.7-20	NA	1	Control.Not.Fed	M	312	449	3.626	0.819	0.807572383	0.182405345	21.3
7/21/2010	7	21	CNw-T31.7-21	NA	NA	CNw-T31.7-21	31	Control.Not.Fed	NA	372	862	NA	NA	NA	NA	NA
7/21/2010	7	21	CN-44	CNf-T31.7-21	CNl-T31.7-21	NA	31	Control.Not.Fed	M	372	895	8.078	2.645	0.902569832	0.295530726	19.3
7/21/2010	7	21	CN-45	CNf-T31.7-21	CNl-T31.7-21	NA	31	Control.Not.Fed	M	362	764	5.933	0.562	0.776570681	0.073560209	29.4
7/21/2010	7	21	CN-46	CNf-T31.7-21	CNl-T31.7-21	NA	31	Control.Not.Fed	F	381	859	6.295	7.849	0.732828871	0.913736903	18.6
7/21/2010	7	21	PNw-T29.7-21	NA	NA	PNw-T29.7-21	29	PCB.Not.Fed	NA	365	637	NA	NA	NA	NA	NA
7/21/2010	7	21	PN-.47	PNf-T29.7-21	PNl-T29.7-21	NA	29	PCB.Not.Fed	M	370	777	6.546	1.879	0.842471042	241.8275418	4.8
7/21/2010	7	21	PN-.48	PNf-T29.7-21	PNl-T29.7-21	NA	29	PCB.Not.Fed	M	368	1125	6.245	1.4	0.555111111	0.124444444	2.4
7/21/2010	7	21	PN-.49	PNf-T29.7-21	PNl-T29.7-21	NA	29	PCB.Not.Fed	M	342	593	4.281	1.863	0.721922428	0.314165261	3.8
7/21/2010	7	21	PFw-T27.7-21	NA	NA	PFw-T27.7-21	27	PCB.Fed	NA	410	1089	NA	NA	NA	NA	NA
7/21/2010	7	21	PF.-.47	PFf-T27.7-21	PFl-T27.7-21	NA	27	PCB.Fed	M	422	1263	14.978	1.653	1.185906572	0.13087886	7.1
7/21/2010	7	21	PF.-.48	PFf-T27.7-21	PFl-T27.7-21	NA	27	PCB.Fed	M	418	1234	19.625	3.121	1.590356564	0.252917342	6.5
7/21/2010	7	21	PF.-.49	PFf-T27.7-21	PFl-T27.7-21	NA	27	PCB.Fed	F	440	1493	29.764	106.475	1.993569993	7.1316142	7.6
7/21/2010	7	21	CNw-T25.7-21	NA	NA	CNw-T25.7-21	25	Control.Not.Fed	NA	360	698	NA	NA	NA	NA	NA
7/21/2010	7	21	CN-47	CNf-T25.7-21	CNl-T25.7-21	NA	25	Control.Not.Fed	M	342	568	4.82	0.976	0.848591549	0.171830986	21.5
7/21/2010	7	21	CN-48	CNf-T25.7-21	CNl-T25.7-21	NA	25	Control.Not.Fed	F	335	583	5.374	17.741	0.921783877	3.043053173	15
7/21/2010	7	21	CN-49	CNf-T25.7-21	CNl-T25.7-21	NA	25	Control.Not.Fed	M	358	685	6.061	1.451	0.884817518	0.211824818	13.5
7/21/2010	7	21	PNw-T23.7-21	NA	NA	PNw-T23.7-21	23	PCB.Not.Fed	NA	410	994	NA	NA	NA	NA	NA
7/21/2010	7	21	PN-.50	PNf-T23.7-21	PNl-T23.7-21	NA	23	PCB.Not.Fed	F	380	910	8.04	56.98	0.883516484	6.261538462	11.2
7/21/2010	7	21	PN-.51	PNf-T23.7-21	PNl-T23.7-21	NA	23	PCB.Not.Fed	M	388	875	6.177	1.248	0.705942857	0.142628571	8.4
7/21/2010	7	21	PN-.52	PNf-T23.7-21	PNl-T23.7-21	NA	23	PCB.Not.Fed	M	410	1010	8.698	3.783	0.861188119	0.374554455	3.5
7/21/2010	7	21	CNw-T21.7-21	NA	NA	CNw-T21.7-21	21	Control.Not.Fed	NA	381	780	NA	NA	NA	NA	NA
7/21/2010	7	21	CN-50	CNf-T21.7-21	CNl-T21.7-21	NA	21	Control.Not.Fed	F	345	638	5.04	14.291	0.789968652	2.239968652	22.9
7/21/2010	7	21	CN-51	CNf-T21.7-21	CNl-T21.7-21	NA	21	Control.Not.Fed	F	320	432	3.987	5.906	0.922916667	1.36712963	22.4
7/21/2010	7	21	CN-52	CNf-T21.7-21	CNl-T21.7-21	NA	21	Control.Not.Fed	F	360	651	7.4	37.476	1.13671275	5.756682028	31
7/21/2010	7	21	CFw-T4.7-21	NA	NA	CFw-T4.7-21	4	Control.Fed	NA	452	1678	NA	NA	NA	NA	NA
7/21/2010	7	21	CF-50	CFf-T4.7-21	CFl-T4.7-21	NA	4	Control.Fed	F	405	1150	14.97	52.418	1.30173913	4.558086957	16.8
7/21/2010	7	21	CF-51	CFf-T4.7-21	CFl-T4.7-21	NA	4	Control.Fed	M	440	1326	21.226	5.128	1.600754148	0.386726998	12.2
7/21/2010	7	21	CF-52	CFf-T4.7-21	CFl-T4.7-21	NA	4	Control.Fed	F	405	1314	23.38	96.352	1.779299848	7.332724505	10.6
7/21/2010	7	21	PFw-T2.7-21	NA	NA	PFw-T2.7-21	2	PCB.Fed	NA	362	949	NA	NA	NA	NA	NA
7/21/2010	7	21	PF.-.50	PFf-T2.7-21	PFl-T2.7-21	NA	2	PCB.Fed	M	395	1114	15.69	5.287	1.408438061	0.47459605	6.9
7/21/2010	7	21	PF.-.51	PFf-T2.7-21	PFl-T2.7-21	NA	2	PCB.Fed	M	378	1018	17.811	1.942	1.749607073	0.190766208	8.3
7/21/2010	7	21	PF.-.52	PFf-T2.7-21	PFl-T2.7-21	NA	2	PCB.Fed	F	405	1130	19.431	3.218	1.719557522	0.284778761	5.4
