TRT,Fish ID,VKL,COR_BACT,Cytotoxic_cell,CYTO_C_Vmax5,CYTO_C_max_OD,NBT_ROS,Cort,Time,Tank
CN,CN - 27,24.2,52.3,15.04,15.52,1.71,2.83,15.2,T1,21
CN,CN - 28,42.2,40,18.13,7.25,1.38,1.65,11.3,T1,21
CN,CN - 29,26.6,18.5,8.96,5.33,1.16,1.24,15.8,T2,1
CN,CN - 30,12.5,5.1,9.25,5.2,1.27,1.43,16.2,T2,1
CN,CN - 31,12.6,0,11.73,6.46,1.22,1.67,18.4,T2,1
CN,CN - 32,15.6,20.4,17.23,24.8,2.16,1.84,7.4,T2,31
CN,CN - 33,10.1,5.6,0.21,26.65,2.11,1.95,16.3,T2,31
CN,CN - 34,11.3,6.4,7.68,19.69,2.07,1.81,10.8,T2,31
CN,CN - 35,25.6,30.1,9.98,30.28,2.39,2.82,18.4,T2,25
CN,CN - 36,21.4,18.2,12.86,18.34,2.21,2.35,12,T2,25
CN,CN - 37,17.3,26.1,4.53,23.12,2.23,1.88,12.5,T2,25
CN,CN - 38,21,15.4,8.43,23.11,2.3,2.03,13.8,T2,21
CN,CN - 39,19.7,15.3,14.17,22.11,2.39,1.81,11.1,T2,21
CN,CN - 40,40,11,13.44,35.85,2.32,1.55,14.1,T2,21
CN,CN - 41,14.6,0,6.98,,,1.2,8.6,T3,1
CN,CN - 42,32.2,0,1.38,,,1.15,7.7,T3,1
CN,CN - 43,17.6,0,1.19,,,1.04,21.3,T3,1
CN,CN - 44,24.8,5.2,4.5,15.81,2.1,1.03,19.3,T3,31
CN,CN - 45,26.6,11.4,2.71,15.54,1.77,0.97,29.4,T3,31
CN,CN - 46,20.6,12.6,9.87,10.67,1.62,1.62,18.6,T3,31
CN,CN - 47,12.3,0,4.44,8.44,1.55,1.37,21.5,T3,25
CN,CN - 48,35.6,2.2,5.15,10.08,1.57,0.95,15,T3,25
CN,CN - 49,16.2,1,7.98,7.04,1.47,1.08,13.5,T3,25
CN,CN - 50,16.5,8.4,9.88,12.54,1.75,1.22,22.9,T3,21
CN,CN - 51,19.6,22.1,2.68,18.47,1.81,1.17,22.4,T3,21
CN,CN - 52,19.6,9.3,9.92,11.71,1.67,1.39,31,T3,21
