Date	Month	Day	Fish.ID	Liver.ID	Fillet.ID	Whole	Tank	Treatment	Sex	Length	Weight	Liver.Weight	God.Weight	HSI	GSI
6/3/2010	6	3	PF-25	PFf-T27.6-3	PFl-T27.6-3	NA	27	PCB.Fed	M	440	1208	15.91	2.86	1.31705298	0.236754967
6/3/2010	6	3	CNw-T25.6-3	NA	NA	CNw-T25.6-3	25	Control.Not.Fed	NA	364	805	NA	NA	NA	NA
6/3/2010	6	3	CN-23	CNf-T25.6-3	CNl-T25.6-3	NA	25	Control.Not.Fed	F	345	732	12.49	43.35	1.706284153	5.922131148
6/3/2010	6	3	CN-24	CNf-T25.6-4	CNl-T25.6-4	NA	25	Control.Not.Fed	M	372	850	15.7	1.5	1.847058824	0.176470588
6/3/2010	6	3	CN-25	CNf-T25.6-5	CNl-T25.6-5	NA	25	Control.Not.Fed	M	392	950	12	1.47	1.263157895	0.154736842
6/3/2010	6	3	PNw-T23.6-3	NA	NA	PNw-T23.6-3	23	PCB.Not.Fed	NA	402	1028	NA	NA	NA	NA
6/3/2010	6	3	PN-26	PNf-T23.6-3	PNl-T23.6-3	NA	23	PCB.Not.Fed	M	385	955	12.81	4.44	1.341361257	0.464921466
6/3/2010	6	3	PN-27	PNf-T23.6-3	PNl-T23.6-3	NA	23	PCB.Not.Fed	M	415	1171	20.95	2.79	1.789069172	0.238257899
6/3/2010	6	3	PN-28	PNf-T23.6-3	PNl-T23.6-3	NA	23	PCB.Not.Fed	M	398	974	14.15	3.61	1.452772074	0.37063655
6/3/2010	6	3	CNw-T21.6-3	NA	NA	CNw-T21.6-3	21	Control.Not.Fed	NA	360	806	NA	NA	NA	NA
6/3/2010	6	3	CN-26	CNf-T21.6-3	CNl-T21.6-3	NA	21	Control.Not.Fed	M	378	962	17.23	2.35	1.791060291	0.244282744
6/3/2010	6	3	CN-27	CNf-T21.6-3	CNl-T21.6-3	NA	21	Control.Not.Fed	F	370	777	10.24	16.65	1.317889318	2.142857143
6/3/2010	6	3	CN-28	CNf-T21.6-3	CNl-T21.6-3	NA	21	Control.Not.Fed	F	374	810	11.83	4.06	1.460493827	0.501234568
6/3/2010	6	3	CFw-T4-6-3	NA	NA	CFw-T4-6-3	4	Control.Fed	NA	395	1219	NA	NA	NA	NA
6/3/2010	6	3	CF-26	CFf-T4-6-3	CFl-T4-6-3	NA	4	Control.Fed	M	425	1264	18.32	2.76	1.449367089	0.21835443
6/3/2010	6	3	CF-27	CFf-T4-6-3	CFl-T4-6-3	NA	4	Control.Fed	F	430	1203	17.21	78.08	1.430590191	6.490440565
6/3/2010	6	3	CF-28	CFf-T4-6-3	CFl-T4-6-3	NA	4	Control.Fed	F	403	1048	17.14	43.64	1.635496183	4.164122137
6/3/2010	6	3	PFw-T2.6-3	NA	NA	PFw-T2.6-3	2	PCB.Fed	NA	330	568	NA	NA	NA	NA
6/3/2010	6	3	PF-26	PFf-T2.6-3	PFl-T2.6-3	NA	2	PCB.Fed	F	375	904	13.03	66.4	1.441371681	7.345132743
6/3/2010	6	3	PF-27	PFf-T2.6-3	PFl-T2.6-3	NA	2	PCB.Fed	F	345	751	13.78	46.82	1.834886818	6.234354194
6/3/2010	6	3	PF-28	PFf-T2.6-3	PFl-T2.6-3	NA	2	PCB.Fed	M	385	955	13.84	2.65	1.44921466	0.277486911
6/29/2010	6	29	PFw-T32.6-29	NA	NA	PFw-T32.6-29	32	PCB.Fed	NA	375	892	NA	NA	NA	NA
6/29/2010	6	29	PF.-.29	PFf-T32.6-29	PFl-T32.6-29	NA	32	PCB.Fed	F	308	448	7.52	0.897	1.678571429	0.200223214
6/29/2010	6	29	PF.-.30	PFf-T32.6-29	PFl-T32.6-29	NA	32	PCB.Fed	F	320	540	11.138	1.108	2.062592593	0.205185185
6/29/2010	6	29	PF.-.31	PFf-T32.6-29	PFl-T32.6-29	NA	32	PCB.Fed	F	315	464	7.899	1.035	1.70237069	0.223060345
6/29/2010	6	29	CFw-T30.6-29	NA	NA	CFw-T30.6-29	30	Control.Fed	NA	335	614	NA	NA	NA	NA
6/29/2010	6	29	CF.-.29	CFf-T30.6-29	CFl-T30.6-29	NA	30	Control.Fed	M	358	749	15.942	2.015	2.128437917	0.269025367
6/29/2010	6	29	CF.-.30	CFf-T30.6-29	CFl-T30.6-29	NA	30	Control.Fed	M	362	822	17.47	6.765	2.125304136	0.822992701
6/29/2010	6	29	CF.-.31	CFf-T30.6-29	CFl-T30.6-29	NA	30	Control.Fed	M	392	972	15.144	2.84	1.558024691	0.29218107
6/29/2010	6	29	PNw-T28.6-29	NA	NA	PNw-T28.6-29	28	PCB.Not.Fed	NA	252	228	NA	NA	NA	NA
6/29/2010	6	29	PN-29	PNf-T28.6-29	PNL-T28.6-29	NA	28	PCB.Not.Fed	M	282	342	4.036	0.504	1.180116959	0.147368421
6/29/2010	6	29	PN-30	PNf-T28.6-29	PNL-T28.6-29	NA	28	PCB.Not.Fed	F	318	451	5.466	1.063	1.211973392	0.235698448
6/29/2010	6	29	PN-31	PNf-T28.6-29	PNL-T28.6-29	NA	28	PCB.Not.Fed	M	328	533	4.817	0.246	0.903752345	0.046153846
6/29/2010	6	29	CFw-T26.6-29	NA	NA	CFw-T26.6-29	26	Control.Fed	NA	366	814	NA	NA	NA	NA
6/29/2010	6	29	CF.-.32	CFf-T26.6-29	CFl-T26.6-29	NA	26	Control.Fed	F	378	917	12.9	49.65	1.406761178	5.414394766
6/29/2010	6	29	CF.-.33	CFf-T26.6-29	CFl-T26.6-29	NA	26	Control.Fed	F	374	848	13.516	76.21	1.593867925	8.987028302
6/29/2010	6	29	CF.-.34	CFf-T26.6-29	CFl-T26.6-29	NA	26	Control.Fed	M	402	1191	22.857	3.503	1.919143577	0.294122586
6/29/2010	6	29	CFw-T24.6-29	NA	NA	CFw-T24.6-29	24	Control.Fed	NA	352	800	NA	NA	NA	NA
6/29/2010	6	29	CF-35	CFf-T24.6-29	CFl-T24.6-29	NA	24	Control.Fed	M	324	549	9.674	1.281	1.762112933	0.233333333
6/29/2010	6	29	CF-36	CFf-T24.6-29	CFl-T24.6-29	NA	24	Control.Fed	F	285	417	9.278	0.788	2.224940048	0.188968825
6/29/2010	6	29	CF-37	CFf-T24.6-29	CFl-T24.6-29	NA	24	Control.Fed	M	316	483	7.019	1.477	1.45320911	0.305797101
6/29/2010	6	29	PFw-T22.6-29	NA	NA	PFw-T22.6-29	22	PCB.Fed	NA	382	898	NA	NA	NA	NA
6/29/2010	6	29	PF.-.32	PFf-T22.6-29	PFl-T22.6-29	NA	22	PCB.Fed	F	342	722	14.281	1.694	1.977977839	0.234626039
6/29/2010	6	29	PF.-.33	PFf-T22.6-29	PFl-T22.6-29	NA	22	PCB.Fed	M	390	1008	15	1.356	1.488095238	0.13452381
6/29/2010	6	29	PF.-.34	PFf-T22.6-29	PFl-T22.6-29	NA	22	PCB.Fed	M	342	598	9.042	0.715	1.512040134	0.119565217
6/29/2010	6	29	PNw-T3.6-29	NA	NA	PNw-T3.6-29	3	PCB.Not.Fed	NA	372	795	NA	NA	NA	NA
6/29/2010	6	29	PN-.32	PNf-T3.6-29	PNl-T3.6-29	NA	3	PCB.Not.Fed	F	316	514	5.36	19.895	1.042801556	3.870622568
6/29/2010	6	29	PN-.33	PNf-T3.6-29	PNl-T3.6-29	NA	3	PCB.Not.Fed	F	263	296	2.724	3.59	0.92027027	1.212837838
6/29/2010	6	29	PN-.34	PNf-T3.6-29	PNl-T3.6-29	NA	3	PCB.Not.Fed	M	365	744	7.103	1.258	0.954704301	0.169086022
6/29/2010	6	29	CNw-T1.6-29	NA	NA	CNw-T1.6-29	1	Control.Not.Fed	NA	238	176	NA	NA	NA	NA
6/29/2010	6	29	CN-29	CNf-T1.6-29	CNl-T1.6-29	NA	1	Control.Not.Fed	F	322	540	5.76	1.102	1.066666667	0.204074074
6/29/2010	6	29	CN-30	CNf-T1.6-29	CNl-T1.6-29	NA	1	Control.Not.Fed	M	288	345	3.339	0.512	0.967826087	0.148405797
6/29/2010	6	29	CN-31	CNf-T1.6-29	CNl-T1.6-29	NA	1	Control.Not.Fed	F	282	315	3.667	0.37	1.164126984	0.117460317
6/30/2010	6	30	CNw-T31.6-30	NA	NA	CNw-T31.6-30	31	Control.Not.Fed	NA	452	1448	NA	NA	NA	NA
6/30/2010	6	30	CN-32	CNf-T31.6-30	CNl-T31.6-30	NA	31	Control.Not.Fed	M	402	859	6.635	2.92	0.772409779	0.339930151
6/30/2010	6	30	CN-33	CNf-T31.6-31	CNl-T31.6-31	NA	31	Control.Not.Fed	M	398	942	7.883	3.342	0.836836518	0.35477707
6/30/2010	6	30	CN-34	CNf-T31.6-32	CNl-T31.6-32	NA	31	Control.Not.Fed	F	384	848	9.196	52.794	1.084433962	6.225707547
6/30/2010	6	30	PNw-T29.6-30	NA	NA	PNw-T29.6-30	29	PCB.Not.Fed	NA	370	832	NA	NA	NA	NA
6/30/2010	6	30	PN-35	PNf-T29.6-30	PNL-T29.6-30	NA	29	PCB.Not.Fed	M	348	589	5.676	1.563	0.963667233	0.265365025
6/30/2010	6	30	PN-36	PNf-T29.6-30	PNL-T29.6-30	NA	29	PCB.Not.Fed	F	345	660	6.59	19.846	0.998484848	3.006969697
6/30/2010	6	30	PN-37	PNf-T29.6-30	PNL-T29.6-30	NA	29	PCB.Not.Fed	F	340	581	5.137	2.805	0.884165232	0.482788296
6/30/2010	6	30	PFw-T27.6-30	NA	NA	PFw-T27.6-30	27	PCB.Fed	NA	410	1207	NA	NA	NA	NA
6/30/2010	6	30	PF.-.35	PFf-T27.6-30	PFl-T27.6-30	NA	27	PCB.Fed	M	440	1610	24.66	5.452	1.531677019	0.33863354
6/30/2010	6	30	PF.-.36	PFf-T27.6-30	PFl-T27.6-30	NA	27	PCB.Fed	F	410	1125	14.814	52.511	1.3168	4.667644444
6/30/2010	6	30	PF.-.37	PFf-T27.6-30	PFl-T27.6-30	NA	27	PCB.Fed	M	455	1711	22.528	4.451	1.316656926	0.260140269
6/30/2010	6	30	CNw-T25.6-30	NA	NA	CNw-T25.6-30	25	Control.Not.Fed	NA	385	859	NA	NA	NA	NA
